Campaign name,Age,Gender,Unnamed: 3,"Impressions (May 1, 2025 - May 31, 2025)","Impressions (Apr 1, 2025 - Apr 30, 2025)",Impressions Change,Impressions Change(%),"Frequency (May 1, 2025 - May 31, 2025)","Frequency (Apr 1, 2025 - Apr 30, 2025)",Frequency Change,Frequency Change(%),amount_spent,"Amount spent (INR) (Apr 1, 2025 - Apr 30, 2025)",Amount spent (INR) Change,Amount spent (INR) Change(%),Result type,"Cost per result (May 1, 2025 - May 31, 2025)","Cost per result (Apr 1, 2025 - Apr 30, 2025)",Cost per result Change,Cost per result Change(%),results,"Results (Apr 1, 2025 - Apr 30, 2025)",Results Change,Results Change(%),"CPM (cost per 1,000 impressions) (May 1, 2025 - May 31, 2025)","CPM (cost per 1,000 impressions) (Apr 1, 2025 - Apr 30, 2025)","CPM (cost per 1,000 impressions) Change","CPM (cost per 1,000 impressions) Change(%)","CTR (all) (May 1, 2025 - May 31, 2025)","CTR (all) (Apr 1, 2025 - Apr 30, 2025)",CTR (all) Change,CTR (all) Change(%),"CPC (all) (May 1, 2025 - May 31, 2025)","CPC (all) (Apr 1, 2025 - Apr 30, 2025)",CPC (all) Change,CPC (all) Change(%),"Clicks (all) (May 1, 2025 - May 31, 2025)","Clicks (all) (Apr 1, 2025 - Apr 30, 2025)",Clicks (all) Change,Clicks (all) Change(%),Reporting starts,Reporting ends,roi
,,female,,52771.0,23784.0,28987.0,122.0,4.08,2.35,1.73,73.47,5512.15,3927.18,1584.97,40.36,Meta Leads,1837.38,785.44,1051.95,133.93,3.0,5.0,-2.0,-40.0,104.45,165.12,-60.66,-36.74,0.52,0.55,-0.03,-6.1,20.04,29.75,-9.71,-32.63,275.0,132.0,143.0,108.33,2025-05-01,2025-05-31,0.0005442522427727838
,,unknown,,657.0,602.0,55.0,9.0,5.13,1.88,3.25,172.84,57.91,55.75,2.16,3.88,,,,,,,,,,88.15,92.61,-4.46,-4.82,1.37,0.0,1.37,,6.43,,,,9.0,0.0,9.0,,2025-05-01,2025-05-31,
Eldeco LVB Generic 18 March,All,All,,1568621.0,1305255.0,263366.0,20.0,2.14,2.23,-0.09,-3.95,59208.69,121400.23,-62191.54,-51.23,Meta Leads,397.37,1113.76,-716.39,-64.32,149.0,109.0,40.0,36.7,37.75,93.01,-55.26,-59.42,0.47,0.35,0.12,34.03,7.96,26.29,-18.33,-69.72,7437.0,4617.0,2820.0,61.08,2025-05-01,2025-05-31,0.0025165224901952735
,25-34,All,,588567.0,375414.0,213153.0,57.0,2.22,1.78,0.45,25.14,19418.17,23940.61,-4522.44,-18.89,Meta Leads,353.06,665.02,-311.96,-46.91,55.0,36.0,19.0,52.78,32.99,63.77,-30.78,-48.26,0.5,0.33,0.17,50.81,6.59,19.21,-12.62,-65.69,2946.0,1246.0,1700.0,136.44,2025-05-01,2025-05-31,0.0028323987275834955
,,male,,487160.0,305576.0,181584.0,59.0,2.17,1.75,0.42,23.86,15529.08,19127.33,-3598.24,-18.81,Meta Leads,323.52,735.67,-412.14,-56.02,48.0,26.0,22.0,84.62,31.88,62.59,-30.72,-49.07,0.5,0.32,0.19,58.6,6.35,19.78,-13.43,-67.89,2445.0,967.0,1478.0,152.84,2025-05-01,2025-05-31,0.0030909751253776784
,,female,,99626.0,68828.0,30798.0,45.0,2.54,1.88,0.66,35.24,3831.07,4760.06,-928.99,-19.52,Meta Leads,547.3,476.01,71.29,14.98,7.0,10.0,-3.0,-30.0,38.45,69.16,-30.7,-44.4,0.5,0.4,0.1,24.86,7.71,17.31,-9.6,-55.47,497.0,275.0,222.0,80.73,2025-05-01,2025-05-31,0.001827165778751106
,,unknown,,1780.0,1011.0,769.0,76.0,1.74,3.95,-2.21,-55.98,58.02,53.22,4.8,9.01,,,,,,,,,,32.59,52.64,-20.05,-38.08,0.22,0.4,-0.17,-43.2,14.5,13.3,1.2,9.01,4.0,4.0,0.0,0.0,2025-05-01,2025-05-31,
,35-44,All,,407647.0,367928.0,39719.0,11.0,1.97,2.12,-0.15,-6.95,12362.23,29491.1,-17128.88,-58.08,Meta Leads,494.49,1843.19,-1348.7,-73.17,25.0,16.0,9.0,56.25,30.33,80.15,-49.83,-62.17,0.42,0.3,0.11,36.96,7.29,26.4,-19.11,-72.38,1695.0,1117.0,578.0,51.75,2025-05-01,2025-05-31,0.0020222888588871104
,,male,,334180.0,296995.0,37185.0,13.0,1.99,2.04,-0.05,-2.6,9735.52,23580.99,-13845.47,-58.71,Meta Leads,486.78,2143.73,-1656.95,-77.29,20.0,11.0,9.0,81.82,29.13,79.4,-50.27,-63.31,0.41,0.29,0.12,43.75,7.11,27.84,-20.73,-74.48,1370.0,847.0,523.0,61.75,2025-05-01,2025-05-31,0.002054332999161832
,,female,,71924.0,69824.0,2100.0,3.0,1.93,2.55,-0.62,-24.28,2571.27,5837.38,-3266.11,-55.95,Meta Leads,514.25,1167.48,-653.22,-55.95,5.0,5.0,0.0,0.0,35.75,83.6,-47.85,-57.24,0.44,0.38,0.07,17.67,8.04,22.11,-14.08,-63.66,320.0,264.0,56.0,21.21,2025-05-01,2025-05-31,0.001944564359246598
