,roi
CTR (all) Change(%),0.886054574521316
Cost per result Change(%),-0.5595965640812391
CTR (all) Change,0.47980136810508456
CPC (all) Change,-0.43762595041013436
Clicks (all) Change(%),0.392753819996317
cpr,-0.391189288311719
"Cost per result (May 1, 2025 - May 31, 2025)",-0.39118898957573656
Results Change(%),0.34916225507847404
